,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
364,miramar,25.9873,-80.2323,73.4,94,90,5.75,US,1612662973
365,ponce,18.073,-66.6185,75.0,76,100,5.01,PR,1612662758
366,ulladulla,-35.35,150.4667,77.0,50,75,1.14,AU,1612662547
367,asgabat,37.95,58.3833,48.2,93,90,4.61,TM,1612662973
368,chernaya kholunitsa,58.8511,51.7154,-6.56,91,100,8.16,RU,1612662974
369,dalvik,65.9702,-18.5286,33.8,69,75,5.75,IS,1612662974
370,maldonado,-34.6667,-54.9167,66.99,88,20,3.44,UY,1612662974
371,gambiran,-6.7988,111.4951,82.47,77,79,11.16,ID,1612662974
372,saldanha,-33.0117,17.9442,64.4,88,0,6.91,ZA,1612662658
373,kudahuvadhoo,2.6708,72.8944,80.8,78,12,14.14,MV,1612662548
374,fuxin,42.0156,121.6589,16.38,71,0,15.52,CN,1612662974
375,kostomuksha,64.571,30.5767,11.35,95,83,9.95,RU,1612662974
376,beba,22.4437,-79.7253,77.0,78,20,3.44,CU,1612662702
377,jacareacanga,-6.2222,-57.7528,74.16,95,100,1.25,BR,1612662509
378,alyangula,-13.8483,136.4192,82.4,74,90,17.27,AU,1612662471
379,swinoujscie,53.9105,14.2471,24.01,78,100,4.0,PL,1612662975
380,peniche,39.3558,-9.3811,53.01,69,0,8.01,PT,1612662678
381,dongzhen,22.3797,110.9389,75.99,70,0,0.34,CN,1612662975
382,prichard,30.7388,-88.0789,50.0,93,90,8.05,US,1612662975
383,tibacuy,4.3511,-72.4564,84.36,53,53,7.2,CO,1612662975
384,pisco,-13.7,-76.2167,71.6,83,75,9.22,PE,1612662304
385,lingao,19.9103,109.6859,72.39,65,0,7.25,CN,1612662680
386,dunedin,-45.8742,170.5036,61.0,77,0,25.01,NZ,1612662330
387,bourges,47.25,2.4167,44.6,100,90,9.22,FR,1612662806
388,wanxian,30.8039,108.3897,55.02,69,100,1.23,CN,1612662917
389,belaya gora,68.5333,146.4167,-29.81,82,0,1.16,RU,1612662472
390,novopskov,49.5464,39.0899,13.53,84,87,11.77,UA,1612662976
391,shache,38.4167,77.2406,26.62,83,5,2.59,CN,1612662976
392,hirara,24.8,125.2833,69.8,67,0,7.31,JP,1612662976
393,lata,40.1629,-8.3327,50.0,83,29,1.99,PT,1612662277
394,mbini,1.574,9.6134,78.8,94,43,4.61,GQ,1612662976
395,chara,56.9064,118.2631,-10.05,75,35,0.45,RU,1612662976
396,myra,45.4358,12.1348,50.0,93,75,5.75,IT,1612662976
397,grimshaw,56.1834,-117.6027,-20.2,69,20,11.5,CA,1612662976
398,milkovo,54.7167,158.6167,19.44,96,100,3.02,RU,1612662977
399,nioro,13.35,-15.75,69.01,27,83,11.39,GM,1612662977
400,mehran,33.1222,46.1646,42.8,93,90,4.61,IR,1612662977
401,coxim,-18.5067,-54.76,72.93,65,8,4.25,BR,1612662847
402,cockburn town,21.4612,-71.1419,77.47,78,0,23.31,TC,1612662443
403,andenes,69.3143,16.1194,33.8,75,100,16.11,NO,1612662514
404,andros town,24.7,-77.7667,73.4,94,75,12.66,BS,1612662977
405,obigarm,38.7173,69.7088,38.77,72,100,7.27,TJ,1612662977
406,rocky mountain house,52.3668,-114.9188,-7.6,77,100,3.44,CA,1612662977
407,nizwa,22.9333,57.5333,48.79,64,0,0.72,OM,1612662484
408,barra dos coqueiros,-10.9089,-37.0386,80.6,78,75,10.36,BR,1612662898
409,peabiru,-23.9128,-52.3431,62.53,83,0,3.58,BR,1612662978
410,santa cecilia,-26.9608,-50.4269,53.91,100,0,3.13,BR,1612662978
411,nenjiang,49.1833,125.2167,-6.77,86,0,6.42,CN,1612662978
412,ouegoa,-20.35,164.4333,84.06,58,9,4.88,NC,1612662978
413,santiago del estero,-27.7951,-64.2615,77.0,52,0,5.01,AR,1612662978
414,longyearbyen,78.2186,15.6401,15.8,86,75,12.66,SJ,1612662498
415,atocha,-20.9333,-66.2333,52.61,71,100,8.86,BO,1612662978
416,hami,42.8,93.45,33.22,72,99,5.53,CN,1612662462
417,jilib,0.4883,42.7854,70.21,96,3,4.27,SO,1612662979
418,paamiut,61.994,-49.6678,25.12,81,50,3.51,GL,1612662454
419,leshukonskoye,64.8989,45.7622,-21.59,84,76,9.53,RU,1612662979
420,baie-comeau,49.2168,-68.1489,21.2,68,1,13.8,CA,1612662979
421,sarangani,5.4033,125.4636,82.13,68,100,5.44,PH,1612662979
422,murwillumbah,-28.3167,153.4,89.01,65,91,11.5,AU,1612662825
423,kokopo,-4.352,152.2633,86.41,65,98,9.8,PG,1612662979
424,hobyo,5.3505,48.5268,76.66,79,59,15.84,SO,1612662470
425,pampa,35.5362,-100.9599,33.8,69,1,14.97,US,1612662736
426,knysna,-34.0363,23.0471,66.2,88,20,6.91,ZA,1612662717
427,nynashamn,58.9034,17.9479,19.0,93,94,3.0,SE,1612662980
428,santa rosa,14.3122,121.1114,87.01,78,20,2.3,PH,1612662924
429,necochea,-38.5473,-58.7368,60.01,82,2,11.56,AR,1612662471
430,columbus,39.9612,-82.9988,21.99,58,75,3.44,US,1612662296
431,toora-khem,52.4675,96.11,-0.02,89,0,2.08,RU,1612662980
432,punta de piedra,7.6176,-71.4916,75.85,78,100,2.84,VE,1612662980
433,abakaliki,6.3163,8.1169,76.1,89,0,4.92,NG,1612662980
434,half moon bay,37.4636,-122.4286,61.0,71,1,8.05,US,1612662980
435,leningradskiy,69.3833,178.4167,-10.28,74,0,5.77,RU,1612662502
436,longjiang,47.3303,123.1836,3.15,83,0,8.05,CN,1612662980
437,pochutla,15.7432,-96.4661,79.0,80,9,1.01,MX,1612662980
438,dombarovskiy,50.7587,59.5386,6.04,92,98,18.05,RU,1612662981
439,porto novo,6.4965,2.6036,84.2,84,40,12.66,BJ,1612662524
440,nueve de julio,-35.4444,-60.8831,73.99,64,0,6.78,AR,1612662981
441,krasnoselkup,65.7,82.4667,-10.25,89,100,12.33,RU,1612662673
442,jerez,14.1,-89.75,65.44,88,0,3.98,GT,1612662981
443,port hardy,50.6996,-127.4199,42.8,75,75,8.05,CA,1612662545
444,helong,42.5397,128.9972,15.85,76,0,7.9,CN,1612662981
445,ghogha,21.6833,72.2833,68.22,48,0,15.55,IN,1612662981
446,haines junction,60.7522,-137.5108,-14.8,70,52,0.31,CA,1612662544
447,melun,48.5,2.75,44.6,93,90,6.91,FR,1612662981
448,tura,25.5198,90.2201,61.7,57,100,0.11,IN,1612662309
449,vangaindrano,-23.35,47.6,76.75,89,100,7.36,MG,1612662982
450,broken hill,-31.95,141.4333,69.8,52,0,14.97,AU,1612662982
451,malim,7.452,123.4312,81.34,74,100,7.36,PH,1612662982
452,homer,59.6425,-151.5483,33.8,60,1,9.22,US,1612662282
453,rocha,-34.4833,-54.3333,63.48,94,3,4.12,UY,1612662317
454,clyde river,70.4692,-68.5914,-7.6,77,90,2.3,CA,1612662272
455,luanda,-8.8368,13.2343,78.8,83,75,4.61,AO,1612662498
456,progreso,21.2833,-89.6667,78.8,69,20,4.61,MX,1612662520
457,sarata,46.0197,29.6657,27.66,97,100,12.44,UA,1612662983
458,sheridan,44.8333,-106.9173,14.0,72,90,5.75,US,1612662983
459,kahului,20.8947,-156.47,78.8,50,40,11.5,US,1612662250
460,castano primo,45.5536,8.7754,46.4,100,90,4.61,IT,1612662983
461,guilford,36.0668,-79.7998,39.99,4,100,8.25,US,1612662983
462,guadalupe victoria,32.2869,-115.105,75.2,13,1,4.61,MX,1612662983
463,skibbereen,51.55,-9.2667,35.6,93,20,9.22,IE,1612662983
464,hovd,48.0056,91.6419,7.83,91,0,1.66,MN,1612662983
465,ryotsu,38.0833,138.4333,44.6,87,75,12.66,JP,1612662514
466,el alto,-4.2714,-81.2147,72.97,79,52,14.09,PE,1612662461
467,yefremov,53.1481,38.0992,-7.38,91,37,9.95,RU,1612662983
468,san luis,-33.295,-66.3356,72.37,39,0,7.87,AR,1612662766
469,itoman,26.1247,127.6694,71.6,68,20,9.22,JP,1612662984
470,saint-francois,46.4154,3.9054,46.99,93,90,10.36,FR,1612662685
471,iquitos,-3.7481,-73.2472,77.0,88,0,2.51,PE,1612662862
472,bafoulabe,13.8065,-10.8321,72.61,22,64,5.14,ML,1612662984
473,qasigiannguit,68.8193,-51.1922,24.8,39,0,31.07,GL,1612662689
474,manuk mangkaw,4.8,119.85,81.84,80,100,10.78,PH,1612662984
475,altay,47.8667,88.1167,21.63,86,0,3.2,CN,1612662984
476,esperance,-33.8667,121.9,60.8,94,75,12.66,AU,1612662465
477,balykshi,47.0667,51.8667,15.8,86,0,6.71,KZ,1612662984
478,santa isabel,-23.3156,-46.2214,68.0,88,90,5.75,BR,1612662984
479,rio grande,-32.035,-52.0986,66.99,96,0,9.75,BR,1612662657
480,lodja,-3.4833,23.4333,71.33,87,100,1.68,CD,1612662985
481,chauk,20.8833,94.8167,71.47,54,0,2.39,MM,1612662985
482,abu dhabi,24.4667,54.3667,66.2,48,0,9.22,AE,1612662872
483,mujiayingzi,42.1167,118.7833,9.5,87,0,6.2,CN,1612662985
484,anchorage,61.2181,-149.9003,15.8,79,75,4.61,US,1612662578
485,suratgarh,29.3167,73.9,48.06,54,0,1.39,IN,1612662985
486,muroto,33.2833,134.15,55.4,44,20,4.61,JP,1612662985
487,okhotsk,59.3833,143.3,2.28,86,94,20.4,RU,1612662507
488,bondowoso,-7.9135,113.8214,82.72,65,2,3.47,ID,1612662986
489,nabire,-3.3667,135.4833,82.22,68,100,1.14,ID,1612662986
490,puerto del rosario,28.5004,-13.8627,59.0,77,40,10.36,ES,1612662973
491,yanam,16.7333,82.2167,68.0,88,86,9.22,IN,1612662489
492,thunder bay,48.4001,-89.3168,-7.01,59,90,16.11,CA,1612662735
493,razdolinsk,58.4211,94.6658,19.62,98,100,5.19,RU,1612662986
494,natal,-5.795,-35.2094,78.8,83,20,3.44,BR,1612662986
495,huangpi,30.8845,114.3779,50.0,93,58,6.71,CN,1612662986
496,saint-augustin,51.226,-58.6502,31.96,98,100,21.61,CA,1612662449
497,vila franca do campo,37.7167,-25.4333,59.0,88,75,23.02,PT,1612662435
498,nishihara,26.1842,127.7558,71.6,56,20,6.91,JP,1612662452
499,ojinaga,29.5667,-104.4167,62.6,13,1,1.68,MX,1612662945
500,iwanai,42.9744,140.5089,28.18,90,100,12.53,JP,1612662987
501,buraydah,26.326,43.975,48.2,100,75,6.91,SA,1612662339
502,iskitim,54.6366,83.3045,30.2,80,0,15.66,RU,1612662987
503,aguadilla,18.4275,-67.1541,75.99,78,1,9.22,PR,1612662747
504,rabo de peixe,37.8,-25.5833,59.0,88,75,23.02,PT,1612662987
505,markova,48.6758,24.4138,23.76,97,100,6.8,UA,1612662987
506,nara,34.6851,135.8049,57.0,71,20,2.3,JP,1612662486
507,karasuk,53.7377,78.0403,33.67,98,100,22.17,RU,1612662987
508,hailar,49.2,119.7,-9.56,86,0,4.94,CN,1612662696
509,port macquarie,-31.4333,152.9167,86.0,51,100,1.99,AU,1612662682
510,jumla,29.2747,82.1838,28.9,70,0,7.14,NP,1612662693
511,dubbo,-32.25,148.6167,78.8,47,40,12.66,AU,1612662988
512,san nicolas,18.1725,120.5953,82.4,65,75,1.14,PH,1612662988
513,galesong,-5.3166,119.3661,84.2,79,20,2.3,ID,1612662988
514,dukat,62.55,155.55,-2.15,88,100,8.63,RU,1612662743
515,methven,-43.6333,171.65,75.0,54,0,1.01,NZ,1612662988
516,labuhan,-6.8844,112.2051,83.25,77,3,12.88,ID,1612662483
517,iskateley,67.6803,53.1512,-24.36,85,99,12.44,RU,1612662490
518,kargil,34.5667,76.1,-9.44,64,0,0.98,IN,1612662492
519,port augusta,-32.5,137.7667,75.99,60,75,16.11,AU,1612662678
520,calafat,43.9911,22.9328,44.01,7,98,5.21,RO,1612662989
521,camacha,33.0833,-16.3333,59.0,77,40,13.8,PT,1612662484
522,hualmay,-11.0964,-77.6139,70.93,78,100,7.43,PE,1612662475
523,wajima,37.4,136.9,48.61,76,99,17.4,JP,1612662484
524,turukhansk,65.8167,87.9833,-5.21,88,98,9.44,RU,1612662515
525,samarai,-10.6167,150.6667,86.45,68,51,4.09,PG,1612662675
526,novobirilyussy,56.9514,90.6661,21.4,95,100,8.48,RU,1612662989
527,sao felix do xingu,-6.6447,-51.995,72.59,94,99,1.34,BR,1612662464
528,menongue,-14.6585,17.691,64.53,93,100,6.2,AO,1612662990
529,san juan,-31.5375,-68.5364,84.15,32,0,10.94,AR,1612662990
530,kloulklubed,7.0419,134.2556,77.0,94,90,14.97,PW,1612662457
531,yayva,59.3303,57.2641,3.99,75,100,6.98,RU,1612662990
532,sandnessjoen,66.0217,12.6316,21.2,79,0,2.3,NO,1612662990
533,buribay,51.9617,58.1592,4.32,90,100,22.82,RU,1612662990
534,urengoy,65.9667,78.3667,-13.79,88,100,12.57,RU,1612662991
535,seljord,59.4894,8.634,12.0,81,18,1.99,NO,1612662991
536,arkhangelsk,64.5401,40.5433,-7.6,84,75,2.24,RU,1612662991
537,coolum beach,-26.5333,153.1,88.0,73,11,4.0,AU,1612662991
538,benguela,-12.5763,13.4055,72.19,84,100,0.18,AO,1612662991
539,fayaoue,-20.65,166.5333,80.64,69,0,2.73,NC,1612662991
540,moose factory,51.2585,-80.6094,-4.0,77,90,3.44,CA,1612662991
541,candia,43.0779,-71.2767,26.01,52,0,6.73,US,1612662991
542,beringovskiy,63.05,179.3167,-6.45,90,83,11.74,RU,1612662349
543,mount isa,-20.7333,139.5,78.8,94,75,9.22,AU,1612662992
544,xiamen,24.4798,118.0819,62.6,88,1,4.47,CN,1612662992
545,zhezkazgan,47.8043,67.7144,14.11,95,52,14.56,KZ,1612662655
546,nanchang,28.6833,115.8833,59.68,72,24,3.29,CN,1612662992
547,gidole,5.65,37.3667,61.81,56,93,1.79,ET,1612662992
548,wanparti,16.3667,78.0667,64.02,59,57,3.98,IN,1612662992
549,sfantu gheorghe,45.8667,25.7833,41.0,85,99,3.0,RO,1612662992
550,albacete,38.8333,-2.0,44.6,93,90,3.44,ES,1612662992
551,biak,-0.9131,122.8766,83.98,62,100,0.38,ID,1612662680
552,salalah,17.0151,54.0924,73.4,68,75,2.3,OM,1612662532
553,bobrovytsya,50.75,31.3833,10.0,85,0,5.88,UA,1612662992
